Date,Open,High,Low,Close,Adj Close,Volume
03,6203.500000,6294.000000,6185.000000,6294.000000,5367.318359,795869
06,6331.000000,6382.000000,6291.000000,6382.000000,5442.361816,754518
08,6400.000000,6513.000000,6350.500000,6496.500000,5540.003906,976346
09,6450.000000,6523.500000,6393.500000,6430.000000,5483.295410,885962
10,6430.500000,6505.000000,6395.000000,6490.000000,5534.460449,499118
13,6492.000000,6541.500000,6465.000000,6530.000000,5568.571777,578058
14,6541.500000,6566.500000,6459.500000,6520.500000,5560.470215,719815
15,6519.000000,6574.000000,6480.000000,6552.500000,5587.759277,1055275
16,6558.000000,6596.000000,6542.000000,6590.000000,5619.737793,1021851
17,6590.000000,6714.500000,6581.000000,6685.000000,5700.750977,1209943
20,6700.000000,6770.000000,6684.500000,6717.000000,5728.039063,446766
21,6689.000000,6716.000000,6611.000000,6708.500000,5720.791504,548726
22,6719.000000,6810.000000,6655.500000,6655.500000,5675.594238,868110
23,6611.000000,6633.500000,6536.500000,6590.000000,5619.737793,1219853
24,6604.000000,6650.000000,6592.500000,6620.000000,5645.320801,507801
27,6540.000000,6569.500000,6413.000000,6545.000000,5581.363281,1078056
28,6565.000000,6657.000000,6503.500000,6650.000000,5670.903809,770628
29,6695.500000,6726.000000,6601.500000,6633.000000,5656.406250,948595
30,6499.000000,6535.000000,6415.000000,6443.500000,5494.807617,1606076
31,6635.000000,6670.000000,6540.500000,6550.500000,5586.053223,1766739
